Title,Release date,Genre,Runtime,Language
The Archies,"December 7, 2023",Musical,2 h 23 min,Hindi
Blood Vessel,"December 8, 2023",Thriller,1 h 59 min,Ijaw
Leave the World Behind,"December 8, 2023",Drama,2 h 21 min,English
Chicken Run: Dawn of the Nugget,"December 15, 2023",Stop motion comedy,1 h 41 min,English
Familia,"December 15, 2023",Drama,1 h 45 min,Spanish
Maestro,"December 20, 2023",Biographical drama,2 h 11 min,English
The Taming of the Shrewd 2,"December 20, 2023",Comedy,1 h 40 min,Polish
Rebel Moon – Part One: A Child of Fire,"December 21, 2023",Space opera,2 h 15 min,English
A Vampire in the Family,"December 24, 2023",Comedy,1 h 29 min,Portuguese
Kho Gaye Hum Kahan,"December 26, 2023",Comedy drama,2 h 14 min,Hindi
"Thank You, I'm Sorry","December 26, 2023",Comedy drama,1 h 31 min,Swedish
Society of the Snow,"January 4, 2024",Disaster drama,2 h 25 min,Spanish
Good Grief,"January 5, 2024",Romantic comedy,1 h 40 min,English
Lift,"January 12, 2024",Action comedy-thriller,1 h 46 min,English
From the Ashes,"January 18, 2024",Drama,1 h 32 min,Arabic
Sixty Minutes,"January 19, 2024",Action,1 h 29 min,German
The Kitchen,"January 19, 2024",Science fiction drama,1 h 47 min,English
Badland Hunters,"January 26, 2024",Dystopian action,1 h 47 min,Korean
Orion and the Dark,"February 2, 2024",Animation,1 h 32 min,English
Ashes,"February 9, 2024",Drama,1 h 40 min,Turkish
Bhakshak,"February 9, 2024",Crime drama,2 h 14 min,Hindi
Kill Me If You Dare,"February 13, 2024",Comedy,1 h 34 min,Polish
Players,"February 14, 2024",Romantic comedy,1 h 45 min,English
Soweto Love Story,"February 14, 2024",Romantic comedy,1 h 42 min,English
The Heartbreak Agency,"February 14, 2024",Romantic comedy,1 h 36 min,German
Mea Culpa,"February 23, 2024",Legal drama,2 h,English
Through My Window 3: Looking at You,"February 23, 2024",Romance,1 h 45 min,Spanish
Code 8: Part II,"February 28, 2024",Science fiction,1 h 40 min,English
The Parades,"February 29, 2024",Drama,2 h 12 min,Japanese
My Name Is Loh Kiwan,"March 1, 2024",Drama,2 h 13 min,Korean
Spaceman,"March 1, 2024",Science fiction drama,1 h 47 min,English
Damsel,"March 8, 2024",Fantasy action,1 h 50 min,English
24 Hours with Gaspar,"March 14, 2024",Crime drama,1 h 38 min,Indonesian
Art of Love,"March 14, 2024",Romance,1 h 39 min,Turkish
Irish Wish,"March 15, 2024",Romantic comedy,1 h 33 min,English
Murder Mubarak,"March 15, 2024",Dramedy,2 h 21 min,Hindi
The Wonderful Story of Henry Sugar and Three More,"March 15, 2024",Fantasy anthology,1 h 28 min,English
Shirley,"March 22, 2024",Biographical drama,1 h 58 min,English
The Casagrandes Movie,"March 22, 2024",Animated comedy,1 h 25 min,English
Rest in Peace,"March 27, 2024",Drama,1 h 47 min,Spanish
No Pressure,"March 27, 2024",Romantic comedy,1 h 52 min,Polish
Heart of the Hunter,"March 29, 2024",Spy thriller,1 h 47 min,English
The Beautiful Game,"March 29, 2024",Drama,2 h 5 min,English
The Wages of Fear,"March 29, 2024",Thriller,1 h 46 min,French
The Tearsmith,"April 4, 2024",Coming-of-age romantic drama,1 h 45 min,Italian
Scoop,"April 5, 2024",Biographical drama,1 h 42 min,English
A Journey,"April 12, 2024",Drama,1 h 55 min,Filipino
Amar Singh Chamkila,"April 12, 2024",Romantic musical,2 h 25 min,Hindi
"Love, Divided","April 12, 2024",Romantic comedy,1 h 38 min,Spanish
Stolen,"April 12, 2024",Drama,1 h 47 min,Northern Sami
Woody Woodpecker Goes to Camp,"April 12, 2024",Slapstick comedy,1 h 40 min,English
Rebel Moon – Part Two: The Scargiver,"April 19, 2024",Space opera,2 h 3 min,English
City Hunter,"April 25, 2024",Action comedy,1 h 44 min,Japanese
Honeymoonish,"April 29, 2024",Romantic comedy,1 h 40 min,Arabic
Down the Rabbit Hole,"May 1, 2024",Deadpan comedy,1 h 42 min,Spanish
Beautiful Rebel,"May 2, 2024",Biographical drama,1 h 53 min,Italian
Unfrosted,"May 3, 2024",Comedy,1 h 36 min,English
Mother of the Bride,"May 9, 2024",Romantic comedy,1 h 30 min,English
Monster,"May 16, 2024",Thriller,1 h 24 min,No dialogue
Thelma the Unicorn,"May 17, 2024",Animated musical,1 h 38 min,English
In Good Hands 2,"May 23, 2024",Romantic comedy,1 h 39 min,Turkish
Atlas,"May 24, 2024",Science fiction thriller,2 h,English
My Oni Girl,"May 24, 2024",Anime fantasy,1 h 52 min,Japanese
Bionic,"May 29, 2024",Science fiction,1 h 50 min,Portuguese
Colors of Evil: Red,"May 29, 2024",Crime thriller,1 h 52 min,Polish
A Part of You,"May 31, 2024",Coming-of-age drama,1 h 40 min,Swedish
The Price of Nonna's Inheritance,"June 4, 2024",Comedy,1 h 30 min,Italian
Under Paris,"June 5, 2024",Thriller,1 h 43 min,French
Basma,"June 6, 2024",Drama,1 h 45 min,Arabic
Ultraman: Rising,"June 14, 2024",Animation,2 h 1 min,English
Inheritance,"June 19, 2024",Comedy,1 h 34 min,Polish
Maharaj,"June 21, 2024",Period drama,2 h 11 min,Hindi
Trigger Warning,"June 21, 2024",Action thriller,1 h 46 min,English
Drawing Closer,"June 27, 2024",Romance,1 h 58 min,Japanese
A Family Affair,"June 28, 2024",Romantic comedy,1 h 53 min,English
Beverly Hills Cop: Axel F,"July 3, 2024",Buddy cop,1 h 57 min,English
Goyo,"July 5, 2024",Romantic drama,1 h 47 min,Spanish
Wild Wild Punjab,"July 10, 2024",Comedy,1 h 50 min,Hindi
Vanished into the Night,"July 11, 2024",Thriller,1 h 32 min,Italian
Blame the Game,"July 12, 2024",Comedy,1 h 32 min,German
Lobola Man,"July 12, 2024",Comedy,1 h 48 min,Zulu
The Champion,"July 12, 2024",Comedy,1 h 46 min,Spanish
Find Me Falling,"July 19, 2024",Romantic comedy,1 h 33 min,English
House of Ga'a,"July 26, 2024",Drama,2 h,Yoruba
Non Negotiable,"July 26, 2024",Action comedy,1 h 26 min,Spanish
Borderless Fog,"August 1, 2024",Crime thriller,1 h 51 min,Indonesian
Saving Bikini Bottom: The Sandy Cheeks Movie,"August 2, 2024",Animated comedy,1 h 26 min,English
Lolo and the Kid,"August 7, 2024",Drama,1 h 37 min,Filipino
Mission: Cross,"August 9, 2024",Crime comedy spy,1 h 40 min,Korean
Phir Aayi Hasseen Dillruba,"August 9, 2024",Crime thriller,2 h 12 min,Hindi
The Union,"August 16, 2024",Spy,1 h 49 min,English
Nice Girls,"August 21, 2024",Action comedy,1 h 32 min,French
Incoming,"August 23, 2024",Comedy,1 h 31 min,English
Tòkunbọ̀,"August 23, 2024",Crime thriller,1 h 52 min,English
Untamed Royals,"August 28, 2024",Drama,1 h 39 min,Spanish
The Deliverance,"August 30, 2024",Thriller,1 h 52 min,English
(Un)lucky Sisters,"August 30, 2024",Comedy,1 h 23 min,Spanish
Rebel Ridge,"September 6, 2024",Thriller,2 h 11 min,English
Boxer,"September 11, 2024",Sports drama,2 h 32 min,Polish
Technoboys,"September 11, 2024",Musical drama,1 h 50 min,Spanish
Officer Black Belt,"September 13, 2024",Action comedy,1 h 49 min,Korean
Sector 36,"September 13, 2024",Crime thriller,2 h 3 min,Hindi
Uglies,"September 13, 2024",Fantasy,1 h 42 min,English
His Three Daughters,"September 20, 2024",Drama,1 h 44 min,English
Divorce,"September 25, 2024",Drama,1 h 32 min,Polish
A True Gentleman,"September 26, 2024",Drama,1 h 50 min,Turkish
Rez Ball,"September 27, 2024",Sports drama,1 h 53 min,English
Trouble,"October 3, 2024",Action comedy,1 h 38 min,Swedish
CTRL,"October 4, 2024",Thriller,1 h 39 min,Hindi
It's What's Inside,"October 4, 2024",Horror thriller,1 h 44 min,English
The Platform 2,"October 4, 2024",Science fiction,1 h 40 min,Spanish
In Her Place,"October 11, 2024",Drama,1 h 35 min,Spanish
Lonely Planet,"October 11, 2024",Romantic drama,1 h 36 min,English
Uprising,"October 11, 2024",Historical thriller,2 h 8 min,Korean
Justice,"October 16, 2024",Crime drama,1 h 55 min,Polish
Outside,"October 17, 2024",Post-apocalyptic psychological thriller,2 h 22 min,Filipino
The Shadow Strays,"October 17, 2024",Action,2 h 25 min,Indonesian
Happiness Is,"October 18, 2024",Comedy drama,1 h 36 min,English
The Man Who Loved UFOs,"October 18, 2024",Comedy drama,1 h 47 min,Spanish
Family Pack,"October 23, 2024",Comedy,1 h 35 min,French
Do Patti,"October 25, 2024",Mystery thriller,2 h 7 min,Hindi
Don't Move,"October 25, 2024",Thriller horror,1 h 32 min,English
Time Cut,"October 30, 2024",Science fiction slasher,1 h 31 min,English
Let Go,"November 1, 2024",Drama,1 h 50 min,Swedish
Meet Me Next Christmas,"November 6, 2024",Romantic comedy,1 h 45 min,English
Pedro Páramo,"November 6, 2024",Drama,2 h 12 min,Spanish
10 Days of a Curious Man,"November 7, 2024",Drama,1 h 50 min,Turkish
Umjolo: The Gone Girl,"November 8, 2024",Romantic comedy,1 h 33 min,Zulu
Vijay 69,"November 8, 2024",Comedy drama,1 h 52 min,Hindi
Hot Frosty,"November 13, 2024",Romantic comedy,1 h 32 min,English
GTMAX,"November 20, 2024",Action,1 h 40 min,French
The Merry Gentlemen,"November 20, 2024",Romantic comedy,1 h 27 min,English
Maybe Baby 2,"November 21, 2024",Comedy,1 h 47 min,Danish
Joy,"November 22, 2024",Drama,1 h 55 min,English
Spellbound,"November 22, 2024",Animated musical fantasy,1 h 50 min,English
The Piano Lesson,"November 22, 2024",Drama,2 h 7 min,English
Our Little Secret,"November 27, 2024",Romantic comedy,1 h 41 min,English
Sikandar Ka Muqaddar,"November 29, 2024",Crime drama,2 h 23 min,Hindi
The Snow Sister,"November 29, 2024",Holiday,1 h 37 min,Norwegian
That Christmas,"December 4, 2024",Animation,1 h 37 min,English
The Children's Train,"December 4, 2024",Period drama,1 h 46 min,Italian
Camp Crasher,"December 6, 2024",Comedy,1 h 35 min,Spanish
Mary,"December 6, 2024",Period drama,1 h 52 min,English
Carry-On,"December 13, 2024",Action thriller,1 h 59 min,English
Disaster Holiday,"December 13, 2024",Comedy,1 h 33 min,English
Ferry 2,"December 20, 2024",Crime drama,1 h 35 min,Dutch
The Six Triple Eight,"December 20, 2024",Period drama,2 h 9 min,English
Umjolo: Day Ones,"December 20, 2024",Romantic comedy,1 h 26 min,Zulu
The Love Scam,"January 1, 2025",Romantic comedy,1 h 41 min,Italian
"Umjolo: My Beginning, My End!","January 3, 2025",Romantic comedy,1 h 13 min,Zulu
Wallace & Gromit: Vengeance Most Fowl,"January 3, 2025",Stop motion comedy,1 h 22 min,English
Ad Vitam,"January 10, 2025",Action thriller,1 h 38 min,French
Back in Action,"January 17, 2025",Action comedy,1 h 54 min,English
The Sand Castle,"January 24, 2025",Drama,1 h 37 min,Arabic
Lucca's World,"January 31, 2025",Drama,1 h 36 min,Spanish
Kinda Pregnant,"February 5, 2025",Comedy,1 h 40 min,English
The Witcher: Sirens of the Deep,"February 11, 2025",Animation,1 h 31 min,English
Death Before the Wedding,"February 12, 2025",Comedy,1 h 46 min,Polish
Honeymoon Crasher,"February 12, 2025",Comedy,1 h 35 min,French
La Dolce Villa,"February 13, 2025",Romantic comedy,1 h 39 min,English
Dhoom Dhaam,"February 14, 2025",Romantic comedy,1 h 48 min,Hindi
Love Forever,"February 14, 2025",Romantic comedy,1 h 36 min,Swedish
The Most Beautiful Girl in the World,"February 14, 2025",Romantic comedy,2 h 2 min,Indonesian
Umjolo: There is No Cure,"February 14, 2025",Romantic comedy,1 h 18 min,Zulu
A Copenhagen Love Story,"February 26, 2025",Romance,1 h 45 min,Danish
Demon City,"February 27, 2025",Revenge thriller,1 h 47 min,Japanese
The Wrong Track,"February 27, 2025",Drama,1 h 34 min,Norwegian
Sosyal Climbers,"February 27, 2025",Romantic comedy,1 h 43 min,Filipino
Counterattack,"February 28, 2025",Crime drama,1 h 25 min,Spanish
Squad 36,"February 28, 2025",Crime thriller,2 h 4 min,French
Delicious,"March 7, 2025",Drama,1 h 42 min,German
Nadaaniyan,"March 7, 2025",Romantic comedy,1 h 59 min,Hindi
Plankton: The Movie,"March 7, 2025",Animated comedy,1 h 27 min,English
The Electric State,"March 14, 2025",Science fiction adventure,2 h 8 min,English
Little Siberia,"March 21, 2025",Comedy drama,1 h 46 min,Finnish
Revelations,"March 21, 2025",Thriller,2 h 2 min,Korean
The Life List,"March 28, 2025",Romantic comedy,2 h 5 min,English
Promised Hearts,"March 31, 2025",Religious romantic drama,1 h 49 min,Indonesian
Banger,"April 2, 2025",Comedy thriller,1 h 31 min,French
Test,"April 4, 2025",Sports drama,2 h 25 min,Tamil
The Dad Quest,"April 9, 2025",Drama,1 h 24 min,Spanish
Frozen Hot Boys,"April 10, 2025",Drama,1 h 58 min,Thai
Awaiting release,Awaiting release,Awaiting release,Awaiting release,Awaiting release
Meet the Khumalos[2],"April 11, 2025",Comedy,TBA,English
iHostage[3][4],"April 18, 2025[5]",Crime thriller,TBA,Dutch
Bullet Train Explosion[6],"April 23, 2025[7]",Action thriller,2 h 14 min,Japanese
Havoc[8],"April 25, 2025[9][10][11]",Action thriller,1 h 47 min,English
Jewel Thief – The Heist Begins[12],"April 25, 2025",heist action thriller,TBA,Hindi
Exterritorial[13],"April 30, 2025[5]",Action thriller,TBA,German
The Biggest Fan[14],"May 1, 2025[15]",Comedy,TBA,Spanish
Lost Bullet 3[16],"May 7, 2025[17]",Action-adventure,TBA,French
Nonnas[18],"May 9, 2025[10]",Comedy,TBA,English
Fear Street: Prom Queen[19],"May 23, 2025[20][10]",Horror,1 h 28 min,English
A Widow's Game[21],"May 30, 2025[22]",Crime thriller,TBA,Spanish
K.O.[23],"June 6, 2025",Action,TBA,French
The Old Guard 2[24],"July 2, 2025[10]",Superhero,TBA,English
Happy Gilmore 2,"July 25, 2025[25]",Sports comedy,TBA,English
